district,block_requested,state_2011census,district_2011census,subdistrict_2011census_name,population_2011,households_2011,sc_population_2011,st_population_2011,literate_population_2011,match_status,note
Bhavnagar,Gariadhar,GUJARAT,Bhavnagar,Gariadhar,118276.0,23136.0,10589.0,354.0,79209.0,MATCHED,
Bhavnagar,Ghogha,GUJARAT,Bhavnagar,Ghogha,100977.0,17985.0,2081.0,170.0,67546.0,MATCHED,
Bhavnagar,Mahuva,GUJARAT,Bhavnagar,Mahuva,452011.0,77075.0,15612.0,893.0,264692.0,MATCHED,
Bhavnagar,Palitana,GUJARAT,Bhavnagar,Palitana,230271.0,41260.0,14262.0,761.0,147100.0,MATCHED,
Kolkata,Behala,,,,,,,,,NO MATCH FOUND,"Kolkata district in 2011 Census had NO sub-district/tehsil subdivisions (fully urban). Behala, Bhangar, Bishnupur, Sonarpur, Thakurpukur are localities/blocks actually in South 24 Parganas district."
Kolkata,Bhangar,,,,,,,,,NO MATCH FOUND,"Actually in South 24 Parganas district, not Kolkata."
Kolkata,Bishnupur,,,,,,,,,NO MATCH FOUND,"Actually in South 24 Parganas district, not Kolkata."
Kolkata,Sonarpur,,,,,,,,,NO MATCH FOUND,"Actually in South 24 Parganas district, not Kolkata."
Kolkata,Thakurpukur,,,,,,,,,NO MATCH FOUND,"Actually a locality in South 24 Parganas district, not Kolkata."
Hooghly,Chanditala,WEST BENGAL,Hugli ,Chanditala - I,179825.0,37681.0,35243.0,281.0,134421.0,MATCHED,
Hooghly,Dhanyakhali,WEST BENGAL,Hugli ,Dhaniakhali,320534.0,78260.0,105811.0,45715.0,218902.0,MATCHED,
Hooghly,Singur,WEST BENGAL,Hugli ,Singur,276413.0,64703.0,47037.0,4069.0,211984.0,MATCHED,
Hooghly,Tarakeswar,WEST BENGAL,Hugli ,Tarakeswar,179148.0,41975.0,42338.0,9034.0,129574.0,MATCHED,
Hooghly,Polba-Dadpur,WEST BENGAL,Hugli ,Polba - Dadpur,263555.0,62151.0,94320.0,30240.0,178535.0,MATCHED,
Nadia,Chakdaha,WEST BENGAL,Nadia ,Chakdah,405719.0,94261.0,185933.0,21609.0,293946.0,MATCHED,
Nadia,Haringhata,WEST BENGAL,Nadia ,Haringhata,231068.0,53838.0,73755.0,11218.0,171144.0,MATCHED,
Nadia,Kaliganj,WEST BENGAL,Nadia ,Kaliganj,334881.0,78432.0,50979.0,1642.0,193975.0,MATCHED,
Nadia,Krishnagar-I,WEST BENGAL,Nadia ,Krishnagar - I,314833.0,74375.0,113204.0,16019.0,201405.0,MATCHED,
Nadia,Ranaghat-I,WEST BENGAL,Nadia ,Ranaghat - I,215137.0,52423.0,78160.0,3267.0,151243.0,MATCHED,
Darjeeling,Darjeeling-Pulbazar,WEST BENGAL,Darjiling ,Darjeeling Pulbazar,126935.0,27470.0,5863.0,36563.0,93091.0,MATCHED,
Darjeeling,Jorethang,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Darjeeling,Kurseong,WEST BENGAL,Darjiling ,Kurseong,94347.0,20892.0,8271.0,29232.0,69646.0,MATCHED,
Darjeeling,Mirik,WEST BENGAL,Darjiling ,Mirik,46374.0,9962.0,3619.0,14280.0,34334.0,MATCHED,
Darjeeling,Rangli Rangliot,WEST BENGAL,Darjiling ,Rangli Rangliot,70125.0,15304.0,3893.0,23187.0,51492.0,MATCHED,
Murshidabad,Berhampore,WEST BENGAL,Murshidabad ,Berhampore,446887.0,105958.0,76935.0,10809.0,288728.0,MATCHED,
Murshidabad,Domkal,WEST BENGAL,Murshidabad ,Domkal,363976.0,88520.0,9515.0,1219.0,203429.0,MATCHED,
Murshidabad,Jalangi,WEST BENGAL,Murshidabad ,Jalangi,252477.0,60928.0,31831.0,2918.0,148291.0,MATCHED,
Murshidabad,Kandi,WEST BENGAL,Murshidabad ,Kandi,220145.0,48963.0,35859.0,3390.0,124346.0,MATCHED,
Murshidabad,Lalgola,WEST BENGAL,Murshidabad ,Lalgola,335831.0,70216.0,31248.0,168.0,180646.0,MATCHED,
Thiruvananthapuram,Nedumangad,KERALA,Thiruvananthapuram,Nedumangad,645326.0,169220.0,62636.0,16469.0,541020.0,MATCHED,
Thiruvananthapuram,Neyyattinkara,KERALA,Thiruvananthapuram,Neyyattinkara,880986.0,223536.0,85922.0,3892.0,731560.0,MATCHED,
Thiruvananthapuram,Parassala,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Thiruvananthapuram,Perumkadavila,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Thiruvananthapuram,Varkala,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Ernakulam,Alangad,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Ernakulam,Angamaly,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Ernakulam,Kothamangalam,KERALA,Ernakulam,Kothamangalam,238403.0,58770.0,17786.0,5477.0,202437.0,MATCHED,
Ernakulam,Kunnathunad,KERALA,Ernakulam,Kunnathunad,469164.0,115490.0,52416.0,1974.0,401887.0,MATCHED,
Ernakulam,Paravur,KERALA,Ernakulam,Paravur,410571.0,102472.0,38984.0,1727.0,357415.0,MATCHED,
Kozhikode,Balussery,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Kozhikode,Koduvally,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Kozhikode,Koyilandy,KERALA,Kozhikode,Quilandy,728168.0,172883.0,67996.0,3349.0,617923.0,MATCHED,
Kozhikode,Thamarassery,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Kozhikode,Vadakara,KERALA,Kozhikode,Vadakara,687265.0,152553.0,15493.0,3487.0,570648.0,MATCHED,
Thrissur,Chavakkad,KERALA,Thrissur,Chavakkad,470898.0,108151.0,23016.0,670.0,397676.0,MATCHED,
Thrissur,Chowannur,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Thrissur,Irinjalakuda,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Thrissur,Kodungallur,KERALA,Thrissur,Kodungallur,312238.0,76926.0,30055.0,690.0,267214.0,MATCHED,
Thrissur,Mukundapuram,KERALA,Thrissur,Mukundapuram,831363.0,210491.0,97697.0,3893.0,719811.0,MATCHED,
Kollam,Karunagappally,KERALA,Kollam,Karunagappally,428802.0,106937.0,36224.0,965.0,361992.0,MATCHED,
Kollam,Kottarakkara,KERALA,Kollam,Kottarakkara,586434.0,152944.0,85165.0,2122.0,502254.0,MATCHED,
Kollam,Kunnathur,KERALA,Kollam,Kunnathur,199456.0,50624.0,35177.0,486.0,170279.0,MATCHED,
Kollam,Pathanapuram,KERALA,Kollam,Pathanapuram,432904.0,115661.0,59079.0,4858.0,367455.0,MATCHED,
Kollam,Punalur,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Visakhapatnam,Anakapalle,ANDHRA PRADESH,Visakhapatnam,Anakapalle,186937.0,48903.0,11696.0,1759.0,120742.0,MATCHED,
Visakhapatnam,Bheemunipatnam,ANDHRA PRADESH,Visakhapatnam,Bheemunipatnam,116349.0,28364.0,9775.0,412.0,68663.0,MATCHED,
Visakhapatnam,Gajuwaka,ANDHRA PRADESH,Visakhapatnam,Gajuwaka,250423.0,63788.0,16325.0,4098.0,184847.0,MATCHED,
Visakhapatnam,Padmanabham,ANDHRA PRADESH,Visakhapatnam,Padmanabham,52079.0,13274.0,5227.0,253.0,23512.0,MATCHED,
Visakhapatnam,Pendurthi,ANDHRA PRADESH,Visakhapatnam,Pendurthi,146650.0,37440.0,9381.0,1684.0,105069.0,MATCHED,
Vijayawada,Gannavaram,,,,,,,,,NO MATCH FOUND,"Part of Krishna district in 2011 (Vijayawada was carved out as its own district, NTR district, only in the 2022 Andhra Pradesh district reorganization)"
Vijayawada,Ibrahimpatnam,,,,,,,,,NO MATCH FOUND,"Part of Krishna district in 2011 (Vijayawada was carved out as its own district, NTR district, only in the 2022 Andhra Pradesh district reorganization)"
Vijayawada,Kankipadu,,,,,,,,,NO MATCH FOUND,"Part of Krishna district in 2011 (Vijayawada was carved out as its own district, NTR district, only in the 2022 Andhra Pradesh district reorganization)"
Vijayawada,Mylavaram,,,,,,,,,NO MATCH FOUND,"Part of Krishna district in 2011 (Vijayawada was carved out as its own district, NTR district, only in the 2022 Andhra Pradesh district reorganization)"
Vijayawada,Nandigama,,,,,,,,,NO MATCH FOUND,"Part of Krishna district in 2011 (Vijayawada was carved out as its own district, NTR district, only in the 2022 Andhra Pradesh district reorganization)"
Guntur,Amaravathi,ANDHRA PRADESH,Guntur,Amaravathi,66277.0,17502.0,18630.0,3439.0,37507.0,MATCHED,
Guntur,Duggirala,ANDHRA PRADESH,Guntur,Duggirala,62655.0,18406.0,19981.0,1847.0,40244.0,MATCHED,
Guntur,Mangalagiri,ANDHRA PRADESH,Guntur,Mangalagiri,160303.0,42639.0,29022.0,4563.0,104479.0,MATCHED,
Guntur,Narasaraopet,ANDHRA PRADESH,Guntur,Narasaraopet,211948.0,52233.0,32310.0,7313.0,137390.0,MATCHED,
Guntur,Tadikonda,ANDHRA PRADESH,Guntur,Tadikonda,67962.0,18838.0,17270.0,3310.0,40162.0,MATCHED,
Tirupati,Chandragiri,,,,,,,,,NO MATCH FOUND,Part of Chittoor district in 2011 (Tirupati became a separate district only in the 2022 Andhra Pradesh reorganization)
Tirupati,Kota,,,,,,,,,NO MATCH FOUND,Part of Chittoor district in 2011 (Tirupati became a separate district only in the 2022 Andhra Pradesh reorganization)
Tirupati,Renigunta,,,,,,,,,NO MATCH FOUND,Part of Chittoor district in 2011 (Tirupati became a separate district only in the 2022 Andhra Pradesh reorganization)
Tirupati,Srikalahasti,,,,,,,,,NO MATCH FOUND,Part of Chittoor district in 2011 (Tirupati became a separate district only in the 2022 Andhra Pradesh reorganization)
Tirupati,Tirupati Rural,,,,,,,,,NO MATCH FOUND,Part of Chittoor district in 2011 (Tirupati became a separate district only in the 2022 Andhra Pradesh reorganization)
Kurnool,Adoni,ANDHRA PRADESH,Kurnool,Adoni,269286.0,52503.0,45319.0,2577.0,139276.0,MATCHED,
Kurnool,Alur,ANDHRA PRADESH,Kurnool,Alur,55834.0,10278.0,11502.0,1130.0,29064.0,MATCHED,
Kurnool,Dhone,ANDHRA PRADESH,Kurnool,Dhone,120232.0,26505.0,16613.0,3064.0,66618.0,MATCHED,
Kurnool,Nandikotkur,ANDHRA PRADESH,Kurnool,Nandikotkur,83748.0,19499.0,16966.0,1061.0,48899.0,MATCHED,
Kurnool,Pattikonda,ANDHRA PRADESH,Kurnool,Pattikonda,68962.0,14410.0,8815.0,2968.0,33357.0,MATCHED,
Bhopal,Berasia,MADHYA PRADESH,Bhopal,Berasia,263538.0,53675.0,59260.0,5495.0,144157.0,MATCHED,
Bhopal,Phanda,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Bhopal,Huzur,MADHYA PRADESH,Bhopal,Huzur,2107523.0,448130.0,298256.0,63934.0,1516533.0,MATCHED,
Bhopal,Kolar,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Bhopal,Sehore Rural,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Indore,Depalpur,MADHYA PRADESH,Indore,Depalpur,228101.0,42763.0,42481.0,13324.0,134616.0,MATCHED,
Indore,Dr. Ambedkar Nagar,MADHYA PRADESH,Indore,Mhow,361937.0,68714.0,49835.0,87210.0,235883.0,MATCHED,
Indore,Indore,MADHYA PRADESH,Indore,Indore,2389511.0,482493.0,379348.0,100332.0,1758546.0,MATCHED,
Indore,Sanwer,MADHYA PRADESH,Indore,Sawer,197835.0,36659.0,52790.0,9645.0,120316.0,MATCHED,
Indore,Sawer,MADHYA PRADESH,Indore,Sawer,197835.0,36659.0,52790.0,9645.0,120316.0,MATCHED,
Jabalpur,Jabalpur,MADHYA PRADESH,Jabalpur,Jabalpur,1370673.0,288065.0,192968.0,105352.0,1047845.0,MATCHED,
Jabalpur,Kundam,MADHYA PRADESH,Jabalpur,Kundam,123443.0,28716.0,10067.0,87152.0,67006.0,MATCHED,
Jabalpur,Majholi,MADHYA PRADESH,Jabalpur,Majholi,169298.0,40999.0,26019.0,34272.0,106979.0,MATCHED,
Jabalpur,Panagar,MADHYA PRADESH,Jabalpur,Panagar,264780.0,58673.0,39507.0,46372.0,188858.0,MATCHED,
Jabalpur,Shahpura,MADHYA PRADESH,Jabalpur,Shahpura,191710.0,41902.0,27575.0,46696.0,118369.0,MATCHED,
Gwalior,Bhitarwar,MADHYA PRADESH,Gwalior,Bhitarwar,108726.0,21135.0,25579.0,7619.0,60254.0,MATCHED,
Gwalior,Dabra,MADHYA PRADESH,Gwalior,Dabra (Pichhore),324569.0,61741.0,80607.0,14409.0,196866.0,MATCHED,
Gwalior,Ghatigaon,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Gwalior,Morar,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Gwalior,Pichhore,MADHYA PRADESH,Gwalior,Dabra (Pichhore),324569.0,61741.0,80607.0,14409.0,196866.0,MATCHED,
Ujjain,Badnagar,MADHYA PRADESH,Ujjain,Badnagar,269573.0,50233.0,59160.0,16823.0,169935.0,MATCHED,
Ujjain,Ghatiya,MADHYA PRADESH,Ujjain,Ghatiya,138861.0,27553.0,43211.0,1296.0,76670.0,MATCHED,
Ujjain,Khachrod,MADHYA PRADESH,Ujjain,Khacharod,161270.0,31421.0,47870.0,6774.0,93735.0,MATCHED,
Ujjain,Mahidpur,MADHYA PRADESH,Ujjain,Mahidpur,259299.0,51696.0,72064.0,1918.0,137842.0,MATCHED,
Ujjain,Ujjain,MADHYA PRADESH,Ujjain,Ujjain,672566.0,131663.0,158363.0,11091.0,478609.0,MATCHED,
