district,block_requested,state_2011census,district_2011census,subdistrict_2011census_name,population_2011,households_2011,sc_population_2011,st_population_2011,literate_population_2011,match_status,note
Dharwad,Kalghatgi,KARNATAKA,Dharwad,Kalghatgi,154659.0,31526.0,20979.0,8386.0,91931.0,MATCHED,
Dharwad,Kundgol,KARNATAKA,Dharwad,Kundgol,165568.0,33710.0,15736.0,11551.0,109180.0,MATCHED,
Dharwad,Navalgund,KARNATAKA,Dharwad,Navalgund,190208.0,37789.0,18213.0,10034.0,124765.0,MATCHED,
Shivamogga,Shivamogga,KARNATAKA,Shimoga,Shimoga,507324.0,117601.0,92070.0,21016.0,377468.0,MATCHED,
Shivamogga,Bhadravati,KARNATAKA,Shimoga,Bhadravati,339846.0,79710.0,73883.0,12665.0,242218.0,MATCHED,
Shivamogga,Sagar,KARNATAKA,Shimoga,Sagar,206319.0,48396.0,19908.0,4412.0,150630.0,MATCHED,
Shivamogga,Shikaripura,KARNATAKA,Shimoga,Shikarpur,238229.0,51798.0,58775.0,14402.0,159348.0,MATCHED,
Shivamogga,Thirthahalli,KARNATAKA,Shimoga,Tirthahalli,142006.0,35340.0,14091.0,2709.0,108090.0,MATCHED,
Jaipur,Amber,RAJASTHAN,Jaipur,Amber,452005.0,74794.0,67837.0,51070.0,274206.0,MATCHED,
Jaipur,Bassi,RAJASTHAN,Jaipur,Bassi,283594.0,44659.0,58279.0,91394.0,162647.0,MATCHED,
Jaipur,Chaksu,RAJASTHAN,Jaipur,Chaksu,223634.0,35645.0,47216.0,47749.0,121801.0,MATCHED,
Jaipur,Jamwa Ramgarh,RAJASTHAN,Jaipur,Jamwa Ramgarh,303236.0,49963.0,46974.0,93590.0,164117.0,MATCHED,
Jaipur,Sanganer,RAJASTHAN,Jaipur,Sanganer,969696.0,185582.0,177215.0,74495.0,689670.0,MATCHED,
Jodhpur,Balesar,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Jodhpur,Bhopalgarh,RAJASTHAN,Jodhpur,Bhopalgarh,320952.0,58361.0,69580.0,2876.0,155240.0,MATCHED,
Jodhpur,Luni,RAJASTHAN,Jodhpur,Luni,221979.0,37897.0,35728.0,10991.0,116559.0,MATCHED,
Jodhpur,Osian,RAJASTHAN,Jodhpur,Osian,465257.0,75643.0,84086.0,19656.0,217611.0,MATCHED,
Jodhpur,Shergarh,RAJASTHAN,Jodhpur,Shergarh,452134.0,75925.0,82565.0,26515.0,208553.0,MATCHED,
Udaipur,Girwa,RAJASTHAN,Udaipur,Girwa,898133.0,186254.0,71772.0,247949.0,600663.0,MATCHED,
Udaipur,Gogunda,RAJASTHAN,Udaipur,Gogunda,214948.0,44340.0,16952.0,107220.0,89992.0,MATCHED,
Udaipur,Jhadol,RAJASTHAN,Udaipur,Jhadol,249297.0,51655.0,6402.0,188925.0,105294.0,MATCHED,
Udaipur,Kherwara,RAJASTHAN,Udaipur,Kherwara,206777.0,40350.0,9344.0,151494.0,111626.0,MATCHED,
Udaipur,Salumbar,RAJASTHAN,Udaipur,Salumbar,248337.0,50813.0,12540.0,132473.0,118290.0,MATCHED,
Kota,Ladpura,RAJASTHAN,Kota,Ladpura,1143792.0,236889.0,207033.0,68410.0,812242.0,MATCHED,
Kota,Digod,RAJASTHAN,Kota,Digod,168734.0,33029.0,40720.0,30320.0,104963.0,MATCHED,
Kota,Itawa,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Kota,Pipalda,RAJASTHAN,Kota,Pipalda,179800.0,35968.0,44769.0,40052.0,104282.0,MATCHED,
Kota,Sangod,RAJASTHAN,Kota,Sangod,186240.0,35152.0,40237.0,18643.0,113723.0,MATCHED,
Ajmer,Ajmer,RAJASTHAN,Ajmer,Ajmer,798454.0,156701.0,171784.0,11338.0,558520.0,MATCHED,
Ajmer,Beawar,RAJASTHAN,Ajmer,Beawar,342935.0,68739.0,48673.0,1623.0,220171.0,MATCHED,
Ajmer,Bhinay,RAJASTHAN,Ajmer,Bhinay,126466.0,23916.0,26695.0,4986.0,58279.0,MATCHED,
Ajmer,Kekri,RAJASTHAN,Ajmer,Kekri,202758.0,40690.0,45776.0,21273.0,105506.0,MATCHED,
Ajmer,Masuda,RAJASTHAN,Ajmer,Masuda,224181.0,43609.0,26438.0,6439.0,114546.0,MATCHED,
Lucknow,Bakshi Ka Talab,UTTAR PRADESH,Lucknow,Bakshi Ka Talab,349654.0,62443.0,116221.0,45.0,203959.0,MATCHED,
Lucknow,Chinhat,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Lucknow,Gosainganj,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Lucknow,Malihabad,UTTAR PRADESH,Lucknow,Malihabad,368453.0,65863.0,148084.0,47.0,205770.0,MATCHED,
Lucknow,Mohan,UTTAR PRADESH,Lucknow,Mohanlalganj,480523.0,91037.0,200534.0,510.0,272452.0,MATCHED,
Agra,Achhnera,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Agra,Bichpuri,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Agra,Etmadpur,UTTAR PRADESH,Agra,Etmadpur,367441.0,59287.0,88223.0,67.0,228448.0,MATCHED,
Agra,Fatehabad,UTTAR PRADESH,Agra,Fatehabad,460592.0,69586.0,81753.0,22.0,242665.0,MATCHED,
Agra,Kheragarh,UTTAR PRADESH,Agra,Kheragarh,466809.0,69272.0,94736.0,258.0,272525.0,MATCHED,
Varanasi,Arajiline,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Varanasi,Chiraigaon,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Varanasi,Harhua,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Varanasi,Kashi Vidyapeeth,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Varanasi,Pindra,UTTAR PRADESH,Varanasi,Pindra,627298.0,92593.0,117597.0,4605.0,396157.0,MATCHED,
Prayagraj,Bahria,UTTAR PRADESH,Allahabad ,Bara,365605.0,65850.0,103246.0,966.0,205538.0,MATCHED,
Prayagraj,Chaka,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Prayagraj,Jasra,UTTAR PRADESH,Allahabad ,Bara,365605.0,65850.0,103246.0,966.0,205538.0,MATCHED,
Prayagraj,Koraon,UTTAR PRADESH,Allahabad ,Koraon,378839.0,61971.0,116094.0,1155.0,201763.0,MATCHED,
Prayagraj,Meja,UTTAR PRADESH,Allahabad ,Meja,579879.0,87482.0,128665.0,1042.0,343415.0,MATCHED,
Meerut,Daurala,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Meerut,Hastinapur,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Meerut,Jani Khurd,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Meerut,Kharkhoda,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Meerut,Mawana,UTTAR PRADESH,Meerut,Mawana,772441.0,126121.0,152371.0,244.0,459070.0,MATCHED,
